query,contexts
 What is the schedule and location for the NZ vs PAK T20I series and the subsequent ODI series?,"1: The NZ vs PAK T20I series consists of five matches starting on March 16, with the first match at Hagley Oval, Christchurch. The subsequent T20Is will be played at University Oval, Dunedin on March 18; Eden Park, Auckland on March 21; Bay Oval, Mount Maunganui on March 23; and Sky Stadium, Wellington on March 26. Following the T20I series, there will be a three-match ODI series starting on March 29 at McLean Park, Napier, followed by matches on April 2 at Seddon Park, Hamilton, and April 5 at Bay Oval, Mount Maunganui."
" Which players are unavailable from New Zealand's regular T20 squad due to IPL commitments, and who are some new or returning players in the squad?","2: New Zealand T20 regulars Dev Conway, Lockie Ferguson, Glenn Phillips, Rachin Ravindra, and white-ball captain Mitchell Santner are unavailable for the series against Pakistan due to IPL commitments. The T20 squad features a mix of established and returning players, including Michael Bracewell (captain), Finn Allen, Daryl Mitchell, and Jimmy Neesham among others."
 When and where is the New Zealand vs Pakistan 1st T20I match scheduled to take place?,"1: The New Zealand vs Pakistan 1st T20I match is scheduled to take place on Sunday, March 16, at the Hagley Oval in Christchurch."
 How can viewers in India watch the live streaming of the New Zealand vs Pakistan 1st T20I match?,2: Viewers in India can watch the live streaming of the New Zealand vs Pakistan 1st T20I match on the Sony LIV and Fancode apps and websites. The match will also be televised live on the Sony Sports Network.
 What are KS Bharat's key achievements and recent performances in cricket?,"1: KS Bharat has played 7 Tests for India, and he caught attention in 2015 by becoming the first wicketkeeper-batsman to score a triple-century in the Ranji Trophy. He has played 105 first-class matches, scoring 5686 runs, including 10 centuries and 32 fifties. Despite his struggle against Australia in the World Test Championship final, Bharat improved his batting skills, scoring 64, 15, and 116 not out for India 'A' against England Lions in Ahmedabad in 2024."
 Why is KS Bharat's opportunity with the Dulwich Cricket Club significant for his cricket career?,"2: KS Bharat's stint with the Dulwich Cricket Club is significant because it provides him a platform to prove his skills following his absence in the Indian national team. Coming off a period where his inclusion in Tests is unlikely, a successful outing with Dulwich and a strong Ranji Trophy performance could help reinvigorate his chances for a comeback. Additionally, his experience and expertise will be invaluable to Dulwich as they aim to make an impact in the Premier Division."
 Why was Rohit Sharma assured of his continuation as India’s Test captain for the England tour?,"1: Rohit Sharma was assured of his continuation as India's Test captain for the England tour because the key decision-makers valued his tactical acumen and leadership qualities, which were deemed essential for success in England's challenging cricketing conditions. India required a captain who could demonstrate patience and tenacity, especially when faced with difficult scenarios during Test matches. Sharma's proven ability to strategize and manage pressure effectively, as seen in his handling of spinners and field placements, convinced the decision-makers to give him an extension as captain."
" How is Rohit Sharma’s leadership style perceived in comparison to former Indian captains, especially considering the England conditions?","2: Rohit Sharma’s leadership style is perceived as a blend of strategic patience and effective man-management, which is essential for succeeding in England's cricketing conditions. Unlike MS Dhoni's sometimes passive approach or Virat Kohli's aggressive style, Sharma embodies a middle path that prioritizes strategic thinking and persistent pressure without allowing the game to drift. His leadership is compared favorably to Rahul Dravid's approach in England, as both are seen as having the tenacity and composure needed to succeed in challenging overseas conditions."
 What recent successes has Sam Billings achieved as a captain in white-ball cricket?,1: Sam Billings has led the Oval Invincibles to victory in The Hundred for the past two seasons and won the ILT20 in the UAE with Dubai Capitals in February.
 Who are currently considered as potential candidates for England's next white-ball captains in ODIs and T20Is?,"2: Ben Stokes is tipped as England's next captain in the ODIs, while Harry Brook is considered for the T20Is."
